Name,Time Series
92100320,079160960_Inflow_Ts
92100120,079161010_Inflow_Ts
92100190,079161010_Inflow_Ts
92100260,080031970_Inflow_Ts
92100280,080110151_Inflow_Ts
92100240,080110580_Inflow_Ts
92100220,080110610_Inflow_Ts
92100170,080150510_Inflow_Ts
92100100,080150540_Inflow_Ts
92100130,081090540_Inflow_Ts
92100110,090081690_Inflow_Ts
92100160,090140630_Inflow_Ts
92100250,090151140_Inflow_Ts
92100230,090151220_Inflow_Ts
92100150,091030020_Inflow_Ts
92100300,091060640_Inflow_Ts
92090040,091131110_Inflow_Ts
92090041,100020220_Inflow_Ts
92090042,100031730_Inflow_Ts
92090090,100068770_Inflow_Ts
92090070,101032210_Inflow_Ts
92090100,111011220_Inflow_Ts
OF-1,091131110_Inflow_Ts
